language,id,text,file,node,lineNumber,lock,comment
en,line:09fbfc4,Aha! I think I just figured it out.,Assets/14_DialogueScripts/Happy/HappySpeech1.yarn,HappySpeech1,4,9b920b6c,
en,line:064c880,Ha ha ha ha! I just remembered something funny!,Assets/14_DialogueScripts/Happy/HappySpeech2.yarn,HappySpeech2,4,0e4ee673,
en,line:08a3633,I feel like I forgot something important.,Assets/14_DialogueScripts/Happy/HappySpeech3.yarn,HappySpeech3,4,191a44ed,
en,line:0a6b2e4,I need more friends.,Assets/14_DialogueScripts/Happy/HappySpeech4.yarn,HappySpeech4,4,8d1b93c4,
en,line:0c96bcf,I think I finally have this life thing figured out.,Assets/14_DialogueScripts/Happy/HappySpeech5.yarn,HappySpeech5,4,6e012f3f,
en,line:048ce7a,I think I need some me time.,Assets/14_DialogueScripts/Happy/HappySpeech6.yarn,HappySpeech6,4,2744fb8a,
en,line:04c56fd,I wish something cool would happen.,Assets/14_DialogueScripts/Happy/HappySpeech7.yarn,HappySpeech7,4,5b21bbda,
en,line:064b62d,I wonder what happened with that one dude.,Assets/14_DialogueScripts/Happy/HappySpeech8.yarn,HappySpeech8,4,2643ee69,
en,line:0475631,I wonder where all my money disappears to.,Assets/14_DialogueScripts/Happy/HappySpeech9.yarn,HappySpeech9,4,77775d9d,
en,line:0167e8e,What a crazy world.,Assets/14_DialogueScripts/Happy/HappySpeech10.yarn,HappySpeech10,4,e8d19b67,
