language,id,text,file,node,lineNumber,lock,comment
en,line:02a0554,A piece of paradise in the middle of a beautiful ocean.,Assets/14_DialogueScripts/Tutorial/Tutorial1.yarn,Tutorial1,4,569d3d39,
en,line:03a71d7,And now this place is all yours! It just needs a name.,Assets/14_DialogueScripts/Tutorial/Tutorial2.yarn,Tutorial2,4,7ccfb719,
en,line:07804f1,{0} City...,Assets/14_DialogueScripts/Tutorial/Tutorial3.yarn,Tutorial3,5,e91073f5,
en,line:0a312a8,That's a great name!,Assets/14_DialogueScripts/Tutorial/Tutorial3.yarn,Tutorial3,6,be3e086b,
en,line:0d171c2,You are the new owner of {0} City.,Assets/14_DialogueScripts/Tutorial/Tutorial4.yarn,Tutorial4,4,6b425ac2,
en,line:0e53220,Now your Double can start a new life in the City as the first official citizen!,Assets/14_DialogueScripts/Tutorial/Tutorial4.yarn,Tutorial4,5,c80e803b,
en,line:05a2d0b,"But first, let's create a Double that looks like you!",Assets/14_DialogueScripts/Tutorial/Tutorial5.yarn,Tutorial5,4,799c5723,
en,line:08b8563,You made your Double!,Assets/14_DialogueScripts/Tutorial/Tutorial6.yarn,Tutorial6,5,6b3cff48,
en,line:03877a6,Your Double will love living here in {0} City.,Assets/14_DialogueScripts/Tutorial/Tutorial6.yarn,Tutorial6,6,82e5b768,
en,line:0b87527,Let's see how your Double fares in his new place.,Assets/14_DialogueScripts/Tutorial/Tutorial7.yarn,Tutorial7,4,e3940d39,
en,line:09490d1,Just click on the Apartments Building to enter it.,Assets/14_DialogueScripts/Tutorial/Tutorial7.yarn,Tutorial7,5,117edf36,
