"key","es","en"
"hello_world","Hola mundo!","Hello world!"
"cc_name","Nombre","Name"
"cc_surname","Apellido","Surname"
"cc_nickname","Apodo","Nickname"
"cc_relationship","Relación a tu Yo Real","Relationship to Real You"
"cc_color","Color Favorito","Favorite Color"
"cc_birthday","Fecha de Nacimiento","Birthday"
"cc_zodiac","Signo del zodíaco","Zodiac Sign"
"cc_fav_food","Comida Favorita","Favorite Food"
"cc_hate_food","Comida Odiada","Most Hated Food"
"cc_rel_1","Novio-Novia","Boyfriend-Girlfriend"
"cc_rel_2","Padre-Madre","Father-Mother"
"cc_rel_3","Hijo-Hija","Son-Daughter"
"cc_rel_4","Hermano-Hermana","Brother-Sister"
"cc_rel_5","Otro pariente","Other Relative"
"cc_rel_6","No relacionado","Not Related"
"cc_rel_7","Uno Mismo","Self"
"cc_sex_preference","Yo prefiero...","I prefer..."
"cc_zodiac_01","Capricornio","Capricorn"
"cc_zodiac_02","Acuario","Aquarius"
"cc_zodiac_03","Piscis","Pisces"
"cc_zodiac_04","Aries","Aries"
"cc_zodiac_05","Tauro","Taurus"
"cc_zodiac_06","Geminis","Gemini"
"cc_zodiac_07","Cancer","Cancer"
"cc_zodiac_08","Leo","Leo"
"cc_zodiac_09","Virgo","Virgo"
"cc_zodiac_10","Libra","Libra"
"cc_zodiac_11","Escorpio","Scorpio"
"cc_zodiac_12","Sagitario","Sagittarius"
"cc_sex_01","Hombres","Men"
"cc_sex_02","Mujeres","Women"
"cc_sex_03","Ambos","Both"
"cc_personalities","Rasgos","Traits"
"Food_Burger","Hamburguesa","Hamburger"
"Food_Broth","Caldo","Broth"
"Food_Broth_Description","Si te sientes mal, esta sopa es realmente la única manera de sentirte mejor.","If you're feeling under the weather, this soup is really the only way to go."
"Food_Burger_Description","Está tan llena de carne y queso que es un ejercicio para comer. Oh bueno, solo asegúrate de abrir bien la boca.","It's so filled with meat and cheese, it's an exercise to eat. Oh well, open wide!"
"Food_Description_Frikandel","Típica de Bélgica. Es una salchicha alargada, de color oscuro y que suele servirse caliente.","Typical of Belgium. It is an elongated sausage, dark in color and usually served hot."
"Food_Frikandel","Frikandel","Frikandel"
"Food_Meat","Bistec","Steak"
"Food_Meat_Description","¡Ten cuidado! Este bistec es tan tentador que es fácil olvidar que está caliente.","Beware! This steak's so tempting, it's easy to forget it's hot."
"Food_Meat_Ribs","Costillas","Ribs"
"Food_Meat_Ribs_Description","El aroma de la carne chisporroteando sobre las brasas es inigualable.","The aroma of sizzling steak over coals is unbeatable."
"Food_Pancakes","Panqueques","Pancakes"
"Food_Pancakes_Description","Esta torre de masa esponjosa está empapada en jarabe de arce y mantequilla.","This fluffy dough tower is drenched in maple syrup and butter."
"Food_Pan_Stew","Estofado","Stew"
"Food_Pan_Stew_Description","Nos tomamos nuestro tiempo y lo cocinamos durante 3 días completos. ¡La carne simplemente se derrite!.","We take our time and cook it for 3 whole days. The meat just melts!"
"Food_Pizza","Pizza","Pizza"
"Food_Pizza_Description","Cubre todos los grupos de alimentos y tiene el equilibrio perfecto de queso y verduras.","It covers all the food groups and has the perfect balance of cheese and vegetables."
"Food_Plate_Sauerkraut","Chucrut","Sauerkraut"
"Food_Plate_Sauerkraut_Description","Repollo en escabeche cortado fino tradicional alemán que es bueno para la salud.","Traditional German fine-cut pickled cabbage that's good for your health."
"Food_Styrofoam_Dinner","Cena de espuma de poliestireno","Styrofoam dinner"
"Food_Styrofoam_Dinner_Description","Viene en porciones para una persona. Consiste en un tipo de carne acompanado con verduras, papas y un postre.","It comes in portions for one person. It consists of a type of meat accompanied by vegetables, potatoes and a dessert."
"Food_Turkey","Pavo asado","Roast turkey"
"Food_Turkey_Description","Esta gran ave tardó días en asarse. Sírvela con relleno y que comiencen las vacaciones.","This big bird took days to roast. Serve with stuffing, and let the holiday begin."
"Food_Ham","Pierna de jamón","Ham leg"
"Food_Ham_Description","Jamón curado especial. ¡Cortar la carne en rodajas finas es una forma de arte!","Special cured ham. Cutting the meat into thin slices is a form of art!"
"Food_Avocado","Aguacate","Avocado"
"Food_Avocado_Description","¡El rey de los ingredientes del guacamole! Usa limón para mantener el color.","The king of guacamole ingredients! Use lemon to maintain the colour."
"Food_Beet","Remolacha","Beets"
